Character	Decimal	Artboard/SVG file name	Glyph name (AGL)
A	65	65 A	A
B	66	66 B	B
C	67	67 C	C
D	68	68 D	D
E	69	69 E	E
F	70	70 F	F
G	71	71 G	G
H	72	72 H	H
I	73	73 I	I
J	74	74 J	J
K	75	75 K	K
L	76	76 L	L
M	77	77 M	M
N	78	78 N	N
O	79	79 O	O
P	80	80 P	P
Q	81	81 Q	Q
R	82	82 R	R
S	83	83 S	S
T	84	84 T	T
